Mechanism,ID,State,Action,Duration,Energy,CO2Footprint,ACR
Internal,1,none,Human,9.144087076,0.0000000248,0.0000082,0
Internal,2,none,Human,9.37719202,0.0000000293,0.00000969,0
Internal,3,none,Human,8.746860981,0.0000000239,0.00000789,0
Internal,4,none,Human,9.16462183,0.000000027,0.00000893,0
Internal,5,none,Autonomous,2.767283678,0.0000000419,0.0000139,0.2
Internal,6,none,Autonomous,2.81565237,0.0000000886,0.0000293,0.4
Internal,7,none,Autonomous,2.791327238,0.0000000932,0.0000308,0.6
Internal,8,none,Autonomous,2.826963425,0.000000093,0.0000308,0.8
Internal,9,steady,Autonomous,2.715770245,0.0000000851,0.0000282,1
Internal,10,steady,Autonomous,2.875160456,0.000000094,0.0000311,1
Internal,11,steady,Autonomous,2.862910032,0.0000000877,0.000029,1
Internal,12,steady,Human,9.132544279,0.0000000263,0.0000087,0.8
Internal,13,steady,Autonomous,2.751802921,0.0000000427,0.0000141,0.8
Internal,14,steady,Autonomous,2.773464441,0.0000000908,0.00003,0.8
Internal,15,steady,Human,8.734085321,0.0000000246,0.00000812,0.6
Internal,16,steady,Human,9.363085747,0.0000000278,0.00000918,0.4
Internal,17,steady,Autonomous,2.77781868,0.0000000413,0.0000136,0.6
Internal,18,steady,Autonomous,2.710143566,0.0000000924,0.0000305,0.6
Internal,19,steady,Autonomous,2.811710358,0.0000000884,0.0000292,0.6
Internal,20,steady,Autonomous,2.923912287,0.0000000909,0.00003,0.8
Internal,21,steady,Autonomous,2.709582567,0.0000000855,0.0000283,1
Internal,22,steady,Autonomous,2.822209358,0.0000000734,0.0000243,1
Internal,23,steady,Human,9.409171581,0.0000000294,0.00000971,0.8
Internal,24,steady,Autonomous,2.7888937,0.0000000411,0.0000136,0.8
Internal,25,steady,Human,9.770179272,0.0000000318,0.0000105,0.6
Internal,26,steady,Autonomous,2.784349442,0.0000000372,0.0000123,0.6
Internal,27,steady,Autonomous,2.736283064,0.0000000956,0.0000316,0.6
Internal,28,steady,Autonomous,2.793249607,0.000000087,0.0000288,0.8
Internal,29,steady,Autonomous,2.851398468,0.0000000915,0.0000303,0.8
Internal,30,steady,Autonomous,3.298352718,0.0000000893,0.0000295,1
Internal,31,steady,Autonomous,2.80087781,0.0000000885,0.0000293,1
Internal,32,steady,Human,9.633195877,0.0000000309,0.0000102,0.8
Internal,33,steady,Human,9.663324356,0.0000000309,0.0000102,0.6
Internal,34,steady,Autonomous,2.817945004,0.0000000389,0.0000129,0.6
Internal,35,steady,Autonomous,2.806754112,0.0000000931,0.0000308,0.6
Internal,36,steady,Autonomous,2.697510481,0.0000000853,0.0000282,0.6
Internal,37,steady,Autonomous,2.882811785,0.0000000941,0.0000311,0.8
Internal,38,steady,Autonomous,2.838493109,0.0000000876,0.000029,1
Internal,39,steady,Autonomous,2.770418406,0.00000009,0.0000298,1
Internal,40,steady,Autonomous,2.857261896,0.0000000923,0.0000305,1
Internal,41,steady,Autonomous,2.741299868,0.000000087,0.0000288,1
Internal,42,steady,Autonomous,2.831578732,0.0000000916,0.0000303,1
Internal,43,disruptive,Human,9.089189053,0.0000000309,0.0000102,0.8
Internal,44,disruptive,Human,8.79075408,0.0000000294,0.00000972,0.6
Internal,45,disruptive,Human,9.743618011,0.0000000365,0.0000121,0.4
Internal,46,disruptive,Human,9.27073288,0.0000000325,0.0000107,0.2
Internal,47,disruptive,Human,9.141086102,0.0000000318,0.0000105,0
Internal,48,disruptive,Human,9.847569942,0.0000000239,0.00000791,0
Internal,49,disruptive,Human,8.782289267,0.0000000293,0.00000969,0
Internal,50,disruptive,Human,8.307948112,0.0000000262,0.00000867,0
Internal,51,disruptive,Human,9.807728291,0.0000000199,0.00000657,0
Internal,52,disruptive,Human,8.009310246,0.00000000881,0.00000291,0
Internal,53,disruptive,Human,8.678982258,0.0000000285,0.00000943,0
Internal,54,disruptive,Human,8.804094791,0.0000000136,0.00000451,0
Internal,55,disruptive,Autonomous,2.530777931,0.0000000436,0.0000144,0.2
Internal,56,disruptive,Human,8.549002886,0.0000000278,0.00000921,0.2
Internal,57,disruptive,Autonomous,2.385865927,0.0000000436,0.0000144,0.4
Internal,58,disruptive,Autonomous,5.019748211,0.000000001,0.000000331,0.6
Internal,59,disruptive,Human,8.873239517,0.0000000294,0.00000971,0.6
Internal,60,disruptive,Human,8.652639627,0.0000000286,0.00000946,0.4
Internal,61,disruptive,Autonomous,4.289129972,9.99E-10,0.00000033,0.6
Internal,62,disruptive,Human,9.833464861,0.0000000373,0.0000123,0.4
