TIME,CO2
2.885658503,1.47E-05
2.989025354,1.36E-05
2.829882622,2.92E-05
3.043973923,2.85E-05
2.848367691,2.95E-05
2.804113865,3.11E-05
2.832410336,2.88E-05
2.913509607,3.07E-05
2.759865761,2.79E-05
2.940011501,3.06E-05
2.955571413,3.10E-05
2.794846058,2.79E-05
2.779118538,1.28E-05
2.902769804,0.0001975089148
2.838627338,2.82E-05
2.773343086,3.03E-05
2.760260344,3.00E-05
2.791666269,1.33E-05
2.89533639,3.01E-05
2.80330658,2.90E-05
2.827533484,3.16E-05
2.853583574,2.80E-05
2.858129501,1.33E-05
2.934909344,3.08E-05
2.832741499,3.00E-05
2.941239595,2.93E-05
2.866581917,2.95E-05
2.838587284,2.90E-05
2.827864408,3.05E-05
2.833204031,2.95E-05
2.893898726,3.01E-05
2.891398191,2.93E-05
3.639126778,1.12E-06
2.716441393,2.88E-05
4.74502039,1.10E-06
2.871446371,2.56E-05
2.775351524,2.98E-05
2.750011206,3.00E-05
4.954564095,1.11E-06
2.826823235,2.30E-05
2.832479477,3.01E-05
2.404161453,3.19E-05
4.625669003,1.12E-06
2.802541018,2.46E-05
2.820238113,2.98E-05
2.766171217,3.04E-05
4.675508022,3.40E-07
2.396041155,0.0003864895855
2.416722059,1.47E-05
4.319071293,3.35E-07
2.639539003,1.80E-05
2.826935053,3.11E-05
2.782101631,3.05E-05
2.506822586,3.08E-05
2.796615601,3.08E-05
2.392828703,2.95E-05
2.462685585,2.98E-05
4.346103668,3.25E-07
2.774276972,2.69E-05
2.737036228,3.05E-05
2.415306807,3.06E-05
4.980977297,1.11E-06
2.781923532,2.30E-05
5.051285744,1.12E-06
2.789468765,2.41E-05
2.672836781,3.09E-05
4.630322218,1.11E-06
2.71414423,2.46E-05
2.689128876,3.11E-05
2.442697525,2.93E-05
2.446568489,0.0002118059097
2.530529499,3.14E-05
2.431314707,3.01E-05
2.689512253,3.21E-05
2.823406935,2.98E-05
2.789531946,1.62E-05
2.503379345,3.06E-05
2.383319139,3.16E-05
2.793231487,3.01E-05
2.845059633,3.14E-05
4.640717506,3.15E-07
2.81932044,2.54E-05
2.626186848,2.82E-05
2.416907787,3.08E-05
2.721268415,3.21E-05
2.776115656,3.00E-05
2.750394344,3.13E-05
4.555024862,3.57E-07
2.429454565,2.30E-05
2.366625547,6.76E-05
2.815749168,0.0001765932838
2.423080206,1.57E-05
2.530603647,3.08E-05
4.605080843,3.28E-07
2.51351428,2.46E-05
2.409705877,2.96E-05
4.544373035,3.13E-07
2.44285202,2.46E-05
2.777638912,2.95E-05
2.411045551,3.03E-05
2.409940004,3.08E-05
2.464150429,3.22E-05
2.400232315,2.88E-05
4.106669664,3.09E-07
2.787044287,2.66E-05
2.324277163,2.88E-05
2.416946888,3.19E-05
2.372451067,3.11E-05
2.401312351,2.98E-05
4.28707099,3.49E-07
2.500618696,0.0002073380525
2.458753824,2.87E-05
4.298841953,3.36E-07
2.426027298,1.68E-05
2.431659698,3.01E-05
2.347369432,2.59E-05
4.373929739,3.47E-07
2.428781986,1.60E-05
2.451832771,3.06E-05
3.996317387,3.38E-07
2.451967716,2.46E-05
2.533802032,3.24E-05
2.389285088,2.92E-05
2.447407961,1.60E-05
2.488665581,0.0001967252294
2.481225967,1.26E-05
2.598798752,2.98E-05
2.484200001,1.44E-05
2.938897848,1.45E-05
3.085685015,1.33E-05
2.912115574,1.57E-05
5.447333813,3.41E-07
2.86681819,2.30E-05
2.892314911,1.13E-05
2.798892498,1.41E-05
2.914192438,1.63E-05
2.782195807,2.89E-05
2.707269192,1.39E-05
2.929444075,8.56E-05
2.892130852,6.54E-05
2.946246147,1.41E-05
2.744428396,6.09E-06
2.972765446,1.41E-05
2.85125494,2.74E-05
3.072781324,3.15E-05
2.93454957,1.55E-05
2.981257677,1.31E-05
2.930731535,1.31E-05
2.877348661,3.00E-05
2.822543859,2.77E-05
2.87356782,3.05E-05
2.858142853,2.92E-05
2.973996401,0.0001746188067
3.062499285,3.86E-05
2.864405394,2.33E-05
2.842191696,2.90E-05
2.940289974,3.86E-05
2.951671124,1.34E-05
3.190737724,3.37E-07
3.821247339,3.26E-07
2.8933146,2.30E-05
2.865799904,3.00E-05
2.887370586,2.82E-05
2.844912529,1.44E-05
3.824317694,3.75E-07
2.936533213,2.22E-05
5.357824802,3.82E-07
2.936148643,2.19E-05
2.885068655,2.96E-05
2.939352989,1.12E-05
2.973510742,1.33E-05
2.941479683,2.87E-05
2.880859137,2.92E-05
