TIME,CO2
9.455676079,8.71E-06
9.559771061,9.69E-06
9.458027363,9.44E-06
9.142357111,8.66E-06
9.398997784,9.17E-06
10.27349734,1.13E-05
9.51023078,9.72E-06
8.857742786,8.13E-06
9.240417719,8.93E-06
9.189922571,8.93E-06
9.106024504,1.05E-05
8.487240314,9.16E-06
8.72215414,5.00E-06
8.763161182,9.45E-06
8.43970871,8.68E-06
9.018952847,9.41E-06
8.226569653,7.60E-06
8.743778944,8.92E-06
9.074487448,3.18E-06
15.64564037,2.59E-05
8.474025488,8.15E-06
8.719749451,8.91E-06
8.559357405,8.67E-06
8.408817768,2.68E-06
8.970551491,9.46E-06
8.748036861,8.70E-06
8.455260038,2.92E-06
8.229708195,7.62E-06
8.503736973,9.17E-06
8.392269135,8.65E-06
8.681926727,9.47E-06
9.066440582,1.05E-05
9.021625996,1.02E-05
8.437230825,8.94E-06
8.083507538,4.50E-06
8.498476267,8.93E-06
9.581413031,1.15E-05
8.994507074,5.54E-06
8.866756201,8.12E-06
9.016078472,8.44E-06
9.689175367,1.02E-05
8.885746717,8.13E-06
9.327022314,9.15E-06
9.39989543,9.43E-06
9.354733706,9.44E-06
9.01129961,8.66E-06
9.7136271,1.02E-05
9.211818218,9.18E-06
8.975114346,8.12E-06
8.831367254,8.14E-06
9.244195461,8.90E-06
8.984417915,8.40E-06
9.877207756,1.02E-05
9.138594151,8.94E-06
9.106951475,8.39E-06
9.045410156,8.62E-06
9.651385307,9.96E-06
8.923880577,8.39E-06
9.877571821,1.05E-05
8.968233109,7.59E-06
9.471242428,9.20E-06
9.332145929,8.93E-06
9.856927872,9.48E-06
9.146068335,7.62E-06
9.432271957,7.63E-06
9.139383554,8.34E-06
9.40312767,8.88E-06
9.563717365,9.42E-06
9.060299397,8.40E-06
10.32246566,1.10E-05
9.450927496,9.43E-06
8.927591324,7.62E-06
11.38443422,1.39E-05
8.870762587,7.33E-06
9.5199821,9.43E-06
8.912486315,8.12E-06
10.18637967,1.10E-05
9.013352394,8.21E-06
10.27324271,1.12E-05
9.985115528,1.07E-05
9.684575319,9.71E-06
8.763382673,7.60E-06
9.232194185,8.39E-06
9.034991026,8.13E-06
9.941326857,1.05E-05
9.100086927,8.12E-06
11.35347319,1.38E-05
11.68637967,1.46E-05
9.084501743,8.13E-06
9.764963627,9.69E-06
8.833652496,7.87E-06
8.924993753,8.18E-06
10.28698707,1.10E-05
9.603149414,9.75E-06
12.35119629,1.64E-05
9.835751295,1.02E-05
9.492092609,9.41E-06
9.489333868,9.45E-06
9.709189415,1.00E-05
10.02750683,1.07E-05
9.572803259,3.20E-06
9.143797159,8.40E-06
9.233695984,8.67E-06
9.809177876,3.48E-06
9.070155859,7.88E-06
9.660421848,2.38E-06
10.08117747,1.07E-05
10.32831025,1.16E-05
9.438858747,8.90E-06
